target,source,weight
Luxembourg,Luxembourg,0.04
Hungary,Luxembourg,0
Malta,Luxembourg,0
Netherlands,Luxembourg,0.39
Austria,Luxembourg,0.46
Poland,Luxembourg,0
Portugal,Luxembourg,1.37
Romania,Luxembourg,0
Slovenia,Luxembourg,0
Slovakia,Luxembourg,0.02
Finland,Luxembourg,0.05
Sweden,Luxembourg,0.09
United Kingdom,Luxembourg,0.35
Iceland,Luxembourg,0
Norway,Luxembourg,0
Switzerland,Luxembourg,0.57
Turkey,Luxembourg,0.27
Belgium,Hungary,2.6
Bulgaria,Hungary,0.02
Czech Republic,Hungary,0.63
Denmark,Hungary,0.58
Germany,Hungary,1.52
Estonia,Hungary,0
Ireland,Hungary,0.97
Greece,Hungary,0.94
Spain,Hungary,0.39
France,Hungary,0.9
Croatia,Hungary,0.71
Italy,Hungary,1.41
Cyprus,Hungary,1.11
Latvia,Hungary,0.23
Lithuania,Hungary,0
Luxembourg,Hungary,0
Hungary,Hungary,0
Malta,Hungary,1.33
Netherlands,Hungary,1.45
Austria,Hungary,0.53
Poland,Hungary,0.97
Portugal,Hungary,0.25
Romania,Hungary,0.93
Slovenia,Hungary,0
Slovakia,Hungary,0
Finland,Hungary,1.49
Sweden,Hungary,1.49
United Kingdom,Hungary,1.45
Iceland,Hungary,0
Norway,Hungary,0.71
Switzerland,Hungary,1.11
Turkey,Hungary,1.35
Belgium,Malta,0.37
Bulgaria,Malta,0.68
Czech Republic,Malta,0
Denmark,Malta,0.11
Germany,Malta,0.5
Estonia,Malta,0
Ireland,Malta,0.26
Greece,Malta,0.32
Spain,Malta,0.05
France,Malta,0.3
Croatia,Malta,0.09
Italy,Malta,1.2
Cyprus,Malta,2.82
Latvia,Malta,0.02
Lithuania,Malta,0.04
Luxembourg,Malta,0
Hungary,Malta,0.54
Malta,Malta,0
Netherlands,Malta,0.2
Austria,Malta,0.39
Poland,Malta,0.2
Portugal,Malta,0
Romania,Malta,0.21
Slovenia,Malta,0.24
Slovakia,Malta,0
Finland,Malta,0
Sweden,Malta,0.13
United Kingdom,Malta,0.91
Iceland,Malta,0
Norway,Malta,0
Switzerland,Malta,0.18
Turkey,Malta,0.37
Belgium,Netherlands,1.39
Bulgaria,Netherlands,4.71
Czech Republic,Netherlands,7.44
Denmark,Netherlands,8.34
Germany,Netherlands,4.35
Estonia,Netherlands,5.86
Ireland,Netherlands,3.8
Greece,Netherlands,2.92
Spain,Netherlands,5.77
France,Netherlands,4.69
Croatia,Netherlands,8.73
Italy,Netherlands,5.86
Cyprus,Netherlands,0.17
Latvia,Netherlands,4.62
Lithuania,Netherlands,3.4
Luxembourg,Netherlands,7.33
Hungary,Netherlands,7.65
Malta,Netherlands,2.34
Netherlands,Netherlands,0.05
Austria,Netherlands,7.18
Poland,Netherlands,4.51
Portugal,Netherlands,6.46
Romania,Netherlands,4.37
Slovenia,Netherlands,2.8
Slovakia,Netherlands,0
Finland,Netherlands,5.48
Sweden,Netherlands,6.32
United Kingdom,Netherlands,8.46
Iceland,Netherlands,5.75
Norway,Netherlands,9.49
Switzerland,Netherlands,5.72
Turkey,Netherlands,5.8
Belgium,Austria,2.03
Bulgaria,Austria,10.18
Czech Republic,Austria,2.14
Denmark,Austria,3.09
Germany,Austria,7.93
Estonia,Austria,0.91
Ireland,Austria,0.8
Greece,Austria,2.54
Spain,Austria,1.26
France,Austria,1.58
Croatia,Austria,9.06
Italy,Austria,1.58
Cyprus,Austria,4.78
Latvia,Austria,2.83
Lithuania,Austria,2.09
Luxembourg,Austria,4.47
Hungary,Austria,1.31
Malta,Austria,2.36
Netherlands,Austria,3.68
Austria,Austria,3.42
Poland,Austria,1.33
Portugal,Austria,0.68
Romania,Austria,4.48
Slovenia,Austria,9.9
Slovakia,Austria,4.6
Finland,Austria,2.02
Sweden,Austria,2.54
United Kingdom,Austria,2.3
Iceland,Austria,0.7
Norway,Austria,0.95
Switzerland,Austria,4.07
Turkey,Austria,3.65
Belgium,Poland,3.44
Bulgaria,Poland,1.62
Czech Republic,Poland,2.5
Denmark,Poland,2.92
Germany,Poland,3.91
Estonia,Poland,2.14
Ireland,Poland,4.59
Greece,Poland,0.75
Spain,Poland,1.38
France,Poland,2
Croatia,Poland,1.07
Italy,Poland,2.42
Cyprus,Poland,1.72
Latvia,Poland,2.53
Lithuania,Poland,3.79
Luxembourg,Poland,0
Hungary,Poland,2.51
Malta,Poland,1.29
Netherlands,Poland,2.33
Austria,Poland,1.38
Poland,Poland,8.44
Portugal,Poland,0.37
Romania,Poland,1.08
Slovenia,Poland,2
Slovakia,Poland,0.03
Finland,Poland,1.72
Sweden,Poland,4.11
United Kingdom,Poland,5.41
Iceland,Poland,0.18
Norway,Poland,9.12
Switzerland,Poland,0.92
Turkey,Poland,0.8
Belgium,Portugal,5.27
Bulgaria,Portugal,0.02
Czech Republic,Portugal,1.11
Denmark,Portugal,1.48
Germany,Portugal,3.59
Estonia,Portugal,0.4
Ireland,Portugal,1.55
Greece,Portugal,0
Spain,Portugal,3.39
France,Portugal,8.23
Croatia,Portugal,0.73
Italy,Portugal,2.35
Cyprus,Portugal,0
Latvia,Portugal,0
Lithuania,Portugal,0.02
Luxembourg,Portugal,15.09
Hungary,Portugal,0.61
Malta,Portugal,0
Netherlands,Portugal,3.74
Austria,Portugal,0.77
Poland,Portugal,0.4
Portugal,Portugal,13.92
Romania,Portugal,0.35
Slovenia,Portugal,0
Slovakia,Portugal,0
Finland,Portugal,1.19
Sweden,Portugal,0.98
United Kingdom,Portugal,3.87
Iceland,Portugal,0.04
Norway,Portugal,0.8
Switzerland,Portugal,4.53
Turkey,Portugal,0.6
Belgium,Romania,2.45
Bulgaria,Romania,1.92
Czech Republic,Romania,1.01
Denmark,Romania,0.1
Germany,Romania,1.93
Estonia,Romania,0
Ireland,Romania,0.56
Greece,Romania,1.72
Spain,Romania,1.04
France,Romania,1.22
Croatia,Romania,0
Italy,Romania,3.77
Cyprus,Romania,3.19
Latvia,Romania,0.08
Lithuania,Romania,0
Luxembourg,Romania,0
Hungary,Romania,1.23
Malta,Romania,0.67
Netherlands,Romania,1.19
Austria,Romania,2.38
Poland,Romania,0.56
Portugal,Romania,0.17
Romania,Romania,6.03
Slovenia,Romania,0
Slovakia,Romania,0.04
Finland,Romania,0
Sweden,Romania,0.49
United Kingdom,Romania,1.27
Iceland,Romania,0
Norway,Romania,0.19
Switzerland,Romania,0.58
Turkey,Romania,1.81
Belgium,Slovenia,0.5
Bulgaria,Slovenia,0
Czech Republic,Slovenia,0.14
Denmark,Slovenia,0.06
Germany,Slovenia,0.25
Estonia,Slovenia,0
Ireland,Slovenia,0
Greece,Slovenia,0
Spain,Slovenia,0
France,Slovenia,0.08
Croatia,Slovenia,0
Italy,Slovenia,0
Cyprus,Slovenia,0
Latvia,Slovenia,0
Lithuania,Slovenia,0
Luxembourg,Slovenia,0
Hungary,Slovenia,0
Malta,Slovenia,0.05
Netherlands,Slovenia,0.05
Austria,Slovenia,0.35
Poland,Slovenia,0.07
Portugal,Slovenia,0
Romania,Slovenia,0
Slovenia,Slovenia,0
Slovakia,Slovenia,0
Finland,Slovenia,0
Sweden,Slovenia,0
United Kingdom,Slovenia,0.11
Iceland,Slovenia,0
Norway,Slovenia,0.02
Switzerland,Slovenia,0.25
Turkey,Slovenia,0.47
Belgium,Slovakia,0.38
Bulgaria,Slovakia,0
Czech Republic,Slovakia,0.82
Denmark,Slovakia,0
Germany,Slovakia,0
Estonia,Slovakia,0
Ireland,Slovakia,0.62
Greece,Slovakia,0.29
Spain,Slovakia,0.05
France,Slovakia,0
Croatia,Slovakia,0.09
Italy,Slovakia,0.29
Cyprus,Slovakia,0
Latvia,Slovakia,0.01
Lithuania,Slovakia,0
Luxembourg,Slovakia,0
Hungary,Slovakia,0.01
Malta,Slovakia,0
Netherlands,Slovakia,0
Austria,Slovakia,0.32
Poland,Slovakia,0
Portugal,Slovakia,0
Romania,Slovakia,0
Slovenia,Slovakia,0.01
Slovakia,Slovakia,2.33
Finland,Slovakia,0
Sweden,Slovakia,0.01
United Kingdom,Slovakia,0.51
Iceland,Slovakia,0
Norway,Slovakia,0
Switzerland,Slovakia,0.01
Turkey,Slovakia,0.02
Belgium,Finland,1.06
Bulgaria,Finland,0
Czech Republic,Finland,2.77
Denmark,Finland,4.24
Germany,Finland,2.04
Estonia,Finland,17.7
Ireland,Finland,0
Greece,Finland,0.02
Spain,Finland,2.04
France,Finland,1.04
Croatia,Finland,0.06
Italy,Finland,0.72
Cyprus,Finland,0.03
Latvia,Finland,6.94
Lithuania,Finland,2.6
Luxembourg,Finland,0.25
Hungary,Finland,2.14
Malta,Finland,0
Netherlands,Finland,1.62
Austria,Finland,1.17
Poland,Finland,0.97
Portugal,Finland,0.6
Romania,Finland,0
Slovenia,Finland,0
Slovakia,Finland,0.04
Finland,Finland,31.76
Sweden,Finland,9.55
United Kingdom,Finland,1
Iceland,Finland,2.32
Norway,Finland,2.23
Switzerland,Finland,1.09
Turkey,Finland,1.25
Belgium,Sweden,2.3
Bulgaria,Sweden,1.07
Czech Republic,Sweden,1.67
Denmark,Sweden,10.52
Germany,Sweden,3.36
Estonia,Sweden,7.5
Ireland,Sweden,0.24
Greece,Sweden,0.83
Spain,Sweden,3.49
France,Sweden,1.75
Croatia,Sweden,0.2
Italy,Sweden,0.68
Cyprus,Sweden,0.96
Latvia,Sweden,4.26
Lithuania,Sweden,2.01
Luxembourg,Sweden,0.84
Hungary,Sweden,3.73
Malta,Sweden,0.76
Netherlands,Sweden,2.89
Austria,Sweden,2.53
Poland,Sweden,4.26
Portugal,Sweden,0.95
Romania,Sweden,0.91
Slovenia,Sweden,0
Slovakia,Sweden,0.06
Finland,Sweden,16.38
Sweden,Sweden,45.67
United Kingdom,Sweden,2.31
Iceland,Sweden,5.12
Norway,Sweden,9.07
Switzerland,Sweden,2.09
Turkey,Sweden,3.12
Belgium,United Kingdom,8.61
Bulgaria,United Kingdom,27.59
Czech Republic,United Kingdom,23.79
Denmark,United Kingdom,17.85
Germany,United Kingdom,14.96
Estonia,United Kingdom,9.95
Ireland,United Kingdom,52.66
Greece,United Kingdom,17.2
Spain,United Kingdom,26.87
France,United Kingdom,19.62
Croatia,United Kingdom,13.23
Italy,United Kingdom,17.49
Cyprus,United Kingdom,35.67
Latvia,United Kingdom,20.91
Lithuania,United Kingdom,28.76
Luxembourg,United Kingdom,21.07
Hungary,United Kingdom,24.03
Malta,United Kingdom,34.94
Netherlands,United Kingdom,27.4
Austria,United Kingdom,14.54
Poland,United Kingdom,32.68
Portugal,United Kingdom,21.69
Romania,United Kingdom,15.99
Slovenia,United Kingdom,20.88
Slovakia,United Kingdom,52.46
Finland,United Kingdom,10.96
Sweden,United Kingdom,14.6
United Kingdom,United Kingdom,21.02
Iceland,United Kingdom,49.18
Norway,United Kingdom,16.24
Switzerland,United Kingdom,24.28
Turkey,United Kingdom,9.51
